stream_segment,stream,reach,year,mean_width_ft,pools_mile,all_lwd_mile,infs_lwd_mile,w_d,w_dmax,mean_residual_pool_depth_ft,q_cfs,reach_length_ft,fish_1000,density_fish_m2,psd150mm,fish_species,area_acres,silt,permeability,precip,temp
Advent-2,Advent Cr.,2-0,2003,9.2,27,253,NA,22.94,4.82,1.9,NA,2168,NA,NA,NA,NA,2908.9200600000004,3503,0,71476,896
Advent-2,Advent Cr.,2-1,2006,9.3,183,691,0,15.33,6.59,0.87,5.06,201.5,NA,NA,NA,NA,2908.9200600000004,3503,0,71476,896
Advent-2,Advent Cr.,2-1,2010,9.2,138,442,0,22.11,7.26,1.01,NA,191,169,0.14,0,EBT,2908.9200600000004,3503,0,71476,896
Advent-2,Advent Cr.,2-1,2015,9.2,117,323,0,22.06,8.75,0.75,NA,180,NA,NA,NA,NA,2908.9200600000004,3503,0,71476,896
Advent-2,Advent Cr.,2-1,2021,9.63,82.07,1094.3,0,19.31,8.12,0.89,3.15,193,146,0.16,33,EBT,2908.9200600000004,3503,0,71476,896
Advent-2,Advent Cr.,2-1,2016,9.4,58,729,0,23.88,5.38,1.06,2.57,181,56,0.05,14,EBT,2908.9200600000004,3503,0,71476,896
Blessed-3,Blessed Cr.,3-0,2003,6.9,42,249,NA,20.17,4.89,1.15,NA,2124,NA,NA,NA,NA,2308.6773045,3491,0,70750,903
Blessed-3,Blessed Cr.,3-1,2016,8.1,273,967,0,15.96,7.49,0.78,NA,213,202,0.18,24,EBT,2308.6773045,3491,0,70750,903
Blessed-3,Blessed Cr.,3-1,2021,7.31,245.58,1596.28,24.56,14.39,6.83,0.67,1.62,215,146,0.21,11,EBT,2308.6773045,3491,0,70750,903
Blessed-3,Blessed Cr.,3-1,2010,9.8,178,1038,0,19.42,8.97,0.88,NA,178,162,0,12,EBT,2308.6773045,3491,0,70750,903
Blessed-3,Blessed Cr.,3-1,2006,9.9,169,963,24,13.96,6.58,1.06,4.75,219.3,NA,NA,NA,NA,2308.6773045,3491,0,70750,903
Blessed-3,Blessed Cr.,3-1,2005,7.3,54,268,0,20,5.59,1.05,NA,295,NA,NA,NA,NA,2308.6773045,3491,0,70750,903
Boulder-2,Boulder Cr.,2-0,1997,20.7,23.78,360.42,NA,28.2,10.16,1.41,NA,5772,174,NA,NA,WCT,9297.869256,5079,0,94378,833
Boulder-2,Boulder Cr.,2-1,1997,15.35,268.47,89.49,NA,23.87,8.82,1.11,NA,59,NA,NA,NA,NA,9297.869256,5079,0,94378,833
Boulder-2,Boulder Cr.,2-2,1997,16.5,226.29,301.71,NA,27.32,7.71,1.31,NA,70,NA,NA,NA,NA,9297.869256,5079,0,94378,833
Boulder-2,Boulder Cr.,2-0,2001,14.3,NA,NA,NA,NA,NA,NA,NA,225,111,0.08,18,WCT,9297.869256,5079,0,94378,833
Boulder-2,Boulder Cr.,2-0,2003,17.1,61,679.49,NA,28.94,7.73,1.57,NA,5385,195,0.16,44,WCT,9297.869256,5079,0,94378,833
Boulder-2,Boulder Cr.,2-0,2004,16.4,NA,NA,NA,NA,NA,NA,NA,231,83,0.05,100,WCT,9297.869256,5079,0,94378,833
Boulder-2,Boulder Cr.,2-2,2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,83,NA,NA,WCT,9297.869256,5079,0,94378,833
Boulder-4,Boulder Cr.,4-0,1997,21,85,212,NA,45.1,7.77,1.21,NA,12578,122,NA,NA,WCT,6535.729566,5135,0,98083,805
Boulder-4,Boulder Cr.,4-0,2003,15.7,62,942,NA,29.2,7.11,1.35,9.96,12244,86,NA,NA,WCT,6535.729566,5135,0,98083,805
Boulder-4,Boulder Cr.,4-1,1997,12.9,201,401,NA,24.25,8.89,0.98,NA,79,178,NA,NA,WCT,6535.729566,5135,0,98083,805
Boulder-4,Boulder Cr.,4-1,2003,13.6,109,655,NA,27,7.66,1.1,9.96,145,86,0.06,54,WCT,6535.729566,5135,0,98083,805
Boulder-4,Boulder Cr.,4-1,2009,16.5,103,415,26,32.38,12.14,0.89,4.51,411,152,0.1,83,WCT,6535.729566,5135,0,98083,805
Boulder-4,Boulder Cr.,4-1,2020,14.6,38,283,13,33.4,1.35,0.72,4.95,549,184,0.14,135,WCT,6535.729566,5135,0,98083,805
Deep-1,Deep Cr.,1-1,2017,16.5,77,330,11,23.84,8.06,1.3,6.75,480,189,0.09,24,WCT,8904.67578,4631,41,138307,751
Deep-1,Deep Cr.,1-1,2007,19.2,58,329,19,22.27,7.82,1.62,25.36,546,151,0.08,67,WCT,8904.67578,4631,41,138307,751
Deep-1,Deep Cr.,1-1,2011,17.6,55,275,69,17.01,7.38,1.81,NA,384,244,0.14,34,WCT,8904.67578,4631,41,138307,751
Deep-1,Deep Cr.,1-1,2005,16.8,34,110,48,22.91,7.13,2.27,NA,770,266,0.17,42,WCT,8904.67578,4631,41,138307,751
Deep-1,Deep Cr.,1-1,2000,16.7,NA,NA,NA,NA,NA,1.05,12.74,1000,203,0.04,32,WCT,8904.67578,4631,41,138307,751
Dodge-2,Dodge Cr.,2-0,2000,12.8,79,286,NA,26.2,8.41,1.31,NA,3199,NA,NA,NA,NA,9732.2057145,4581,0,78354,976
Dodge-2,Dodge Cr.,2-0,2004,11.5,80,438,NA,24.5,6.35,1.38,NA,3256,NA,NA,NA,NA,9732.2057145,4581,0,78354,976
