stream_segment,stream,reach,mean_mean_width_ft,mean_pools_mile,mean_all_lwd_mile,mean_infs_lwd_mile,mean_w_d,mean_w_dmax,mean_mean_residual_pool_depth_ft,mean_q_cfs,mean_reach_length_ft,mean_fish_1000,mean_density_fish_m2,mean_psd150mm,area_acres,silt,permeability,precip,temp
Advent-1,Advent Cr.,1-0,12.5,33,84,NA,15.52,4.64,2.23,NA,1592,NA,NA,NA,NA,NA,NA,NA,NA
Advent-2,Advent Cr.,2-0,9.321666666666667,100.845,588.7166666666667,0,20.938333333333333,6.82,1.08,3.5933333333333333,519.0833333333334,123.66666666666667,0.11666666666666667,15.666666666666666,2908.9200600000004,3503,0,71476,896
Advent-3,Advent Cr.,3-0,6.6,10,167,NA,17.9,6.67,1.18,NA,2522,NA,NA,NA,NA,NA,NA,NA,NA
Basin-1,Basin Cr.,1-1,6.4,264,1056,38,17.34,6.62,0.69,NA,140,79,0.13,9,NA,NA,NA,NA,NA
Blessed-1,Blessed Cr.,1-0,7.5,0,75,NA,10,NA,0,NA,211,NA,NA,NA,NA,NA,NA,NA,NA
Blessed-2,Blessed Cr.,2-0,6.9,47,234,NA,21.26,4.29,1.18,NA,2914,NA,NA,NA,NA,NA,NA,NA,NA
Blessed-3,Blessed Cr.,3-0,8.218333333333334,160.26333333333332,846.88,9.712,17.316666666666666,6.725,0.9316666666666666,3.185,540.7166666666667,170,0.13,15.666666666666666,2308.6773045,3491,0,70750,903
Blessed-4,Blessed Cr.,4-0,5.2,32,131,NA,17.7,4.32,1.05,NA,1329,NA,NA,NA,NA,NA,NA,NA,NA
BlueSky-1,Bluesky Cr.,1-0,17.475,46.87,290.98,0,24.725,8.88,1.26,20.85,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boulder-1,Boulder Cr.,1-0,17.048,145.54,501.264,NA,22.37,7.04,1.612,9.96,4586,104,NA,NA,NA,NA,NA,NA,NA
Boulder-2,Boulder Cr.,2-0,16.725,144.885,357.7775,NA,27.0825,8.605,1.35,NA,1957,129.2,0.09666666666666666,54,9297.869256,5079,0,94378,833
Boulder-4,Boulder Cr.,4-0,15.716666666666667,99.66666666666667,484.6666666666667,19.5,31.888333333333335,7.486666666666667,1.0416666666666667,7.345000000000001,4334.333333333333,134.66666666666666,0.1,90.66666666666667,6535.729566,5135,0,98083,805
Clarence-1,Clarence Cr.,1-0,23.64333333333333,26.746666666666666,140.53,4.98,29.826666666666668,12.47,1.3566666666666667,19.955,1624,NA,NA,NA,NA,NA,NA,NA,NA
Deep-1,Deep Cr.,1-1,17.36,56,261,36.75,21.5075,7.5975,1.61,14.95,636,210.6,0.10400000000000001,39.8,8904.67578,4631,41,138307,751
Deep-2,Deep Cr,2-1,13.5,NA,NA,NA,15.15,NA,NA,8.26,382.5,244.5,0.19,25,NA,NA,NA,NA,NA
Dodge-1,Dodge Cr.,1-0,11.733333333333334,71.66666666666667,530.6666666666666,22,26.7,7.626666666666667,1.18,NA,5326.666666666667,NA,NA,NA,NA,NA,NA,NA,NA
Dodge-2,Dodge Cr.,2-0,12.098571428571429,79.51142857142857,626.8771428571429,28.158,24.075714285714287,7.938571428571429,1.2142857142857142,2.6933333333333334,1106.142857142857,282.4,0.184,13,9732.2057145,4581,0,78354,976
Dodge-4,Dodge Cr.,4-0,11.377777777777778,111.21000000000001,958.275,51.56,24.71625,8.323333333333332,1.2016666666666667,3.41,1698.111111111111,290.55555555555554,0.27125,19.125,6884.444142,4945,0,88120,885
Edna-1,Edna Cr.,1-1,13.1,92,491,17.5,33.7275,9.16,1.03,4.654999999999999,312.2,135,0.12,19.666666666666668,12827.937154500001,4097,39,70323,1050
EFSunday-1,EF Sunday Cr,1-0,8.4,81,665.5,36,21.19,5.73,1.225,2.02,903.5,0,0,0,NA,NA,NA,NA,NA
Fortine-1,Fortine,Lower,43.81,20.15,42.31,8.06,61.05,27.29,1.2,6.33,2621,NA,NA,NA,NA,NA,NA,NA,NA
Fortine-2,Fortine,Middle,17.3675,71.245,425.70000000000005,28.705,40.6175,10.49,1.35,1.9649999999999999,385.5,134,0.1925,9.5,25076.314242,4041,20,64945,1040
Fortine-3,Fortine,Upper,12.67,97.185,743.235,29.78,38.57,10.71,1.065,1.315,365.16,134.2,0.108,9.4,12969.157662000001,4252,21,69737,999
Good-1,Good Cr.,1-1,11.1,116,116,0,26.4,9.07,0.87,NA,320,22,0.22,43,NA,NA,NA,NA,NA
Grave-1,Grave Cr.,1-Demo,37.4,9,75,NA,50.7,7.32,2.79,NA,5798.8,109.4,NA,NA,NA,NA,NA,NA,NA
Harvey-1,Harvey Cr.,1-0,5.525,75.75,522.25,17.5,13.8325,4.5875,0.8574999999999999,1.76,919.25,NA,NA,NA,NA,NA,NA,NA,NA
Jim-1,Jim Cr.,1-0,5.2,58,824,0,11.12,3.73,1.35,NA,1185,NA,NA,NA,NA,NA,NA,NA,NA
Lake-1,Lake Cr.,1-1,11.7,113,361,0,22.96,7.43,1.47,NA,234,390,0.01,17,NA,NA,NA,NA,NA
LaughingWater-1,Laughing Water,1-1,6.62,103.5125,502.8125,27.0025,19.345,6.89,0.79,1.25,190.5,140,0.2,12,4467.015927,4337,44,102902,909
Lewis-1,Lewis Cr.,1-0,14.066666666666666,58,204.33333333333334,14,25.043333333333333,8.023333333333333,1.3333333333333333,9.34,1302.3333333333333,182,0.16,19,NA,NA,NA,NA,NA
Lewis-2,Lewis Cr.,2-0,12.8,26,217,44,33.2,9.06,1.41,NA,1615,NA,NA,NA,NA,NA,NA,NA,NA
Lime-1,Lime Cr.,1-0,4.9,24,322,NA,31.04,5,0.92,NA,1081,NA,NA,NA,NA,NA,NA,NA,NA
Lookout-1,Lookout Cr.,1-0,12.475,84,577,11,34.555,8.935,1.08,0.75,2034.5,229.25,0.19,11.25,36446.900238,4996,0,87835,924
Louis-1,Louis Cr.,1-1,7.954,294.2,1212.2,49.8,13.458,5.352,1.29,0.755,143.56,110.33333333333333,0.13,6.333333333333333,2537.7436395,3492,2,82118,1029
Martin-1,Martin Cr.,1-1,7.65,46,535,23.5,17.915,6.795,0.735,NA,232,142,0.18,10,NA,NA,NA,NA,NA
McGuire-1,McGuire Cr.,1-0,13.773333333333333,117.5,274.25,26,24.234285714285715,6.6850000000000005,1.415,2.2425,4187.675,330,0.22714285714285715,7.285714285714286,11264.0590305,5596,0,88680,883
NF Big-1,NF Big,1-0,15.209999999999999,83.0025,529.86,58.7425,27.786666666666665,8.615,1.335,2.87,2888.285714285714,360.1666666666667,0.28,32.5,11583.639927,5482,0,109097,904
